year,month, schiller-sp500 , schiller-cpi ,^GSPC,GC=F
1871,1,4.44,12.46,,
1871,2,4.5,12.84,,
1871,3,4.61,13.03,,
1871,4,4.74,12.56,,
1871,5,4.86,12.27,,
1871,6,4.82,12.08,,
1871,7,4.73,12.08,,
1871,8,4.79,11.89,,
1871,9,4.84,12.18,,
1871,10,4.59,12.37,,
1871,11,4.64,12.37,,
1871,12,4.74,12.65,,
1872,1,4.86,12.65,,
1872,2,4.88,12.65,,
1872,3,5.04,12.84,,
1872,4,5.18,13.13,,
1872,5,5.18,13.13,,
1872,6,5.13,13.03,,
1872,7,5.1,12.84,,
1872,8,5.04,12.94,,
1872,9,4.95,13.03,,
1872,10,4.97,12.75,,
1872,11,4.95,13.13,,
1872,12,5.07,12.94,,
1873,1,5.11,12.94,,
1873,2,5.15,13.23,,
1873,3,5.11,13.23,,
1873,4,5.04,13.23,,
1873,5,5.05,12.94,,
1873,6,4.98,12.56,,
1873,7,4.97,12.56,,
1873,8,4.97,12.56,,
1873,9,4.59,12.56,,
1873,10,4.19,12.27,,
1873,11,4.04,11.89,,
1873,12,4.42,12.18,,
1874,1,4.66,12.37,,
1874,2,4.8,12.37,,
1874,3,4.73,12.37,,
1874,4,4.6,12.18,,
1874,5,4.48,12.08,,
1874,6,4.46,11.8,,
1874,7,4.46,11.89,,
1874,8,4.47,11.8,,
1874,9,4.54,11.8,,
1874,10,4.53,11.61,,
1874,11,4.57,11.51,,
1874,12,4.54,11.51,,
1875,1,4.54,11.51,,
1875,2,4.53,11.51,,
1875,3,4.59,11.51,,
1875,4,4.65,11.61,,
1875,5,4.47,11.32,,
1875,6,4.38,11.13,,
1875,7,4.39,11.13,,
1875,8,4.41,11.23,,
1875,9,4.37,11.13,,
1875,10,4.3,11.13,,
1875,11,4.37,11.04,,
1875,12,4.37,10.94,,
1876,1,4.46,10.85,,
1876,2,4.52,10.85,,
1876,3,4.51,10.85,,
1876,4,4.34,10.75,,
1876,5,4.18,10.37,,
1876,6,4.15,10.09,,
1876,7,4.1,10.09,,
1876,8,3.93,10.18,,
1876,9,3.69,10.28,,
1876,10,3.67,10.47,,
1876,11,3.6,10.56,,
1876,12,3.58,10.75,,
1877,1,3.55,10.94,,
1877,2,3.34,10.66,,
1877,3,3.17,10.18,,
1877,4,2.94,10.47,,
1877,5,2.94,10.66,,
1877,6,2.73,10.09,,
1877,7,2.85,10.18,,
1877,8,3.05,9.8,,
1877,9,3.24,9.7,,
1877,10,3.31,9.7,,
1877,11,3.26,9.51,,
1877,12,3.25,9.51,,
1878,1,3.25,9.23,,
1878,2,3.18,9.13,,
1878,3,3.24,8.94,,
1878,4,3.33,8.85,,
1878,5,3.34,8.56,,
1878,6,3.41,8.37,,
1878,7,3.48,8.47,,
1878,8,3.45,8.56,,
1878,9,3.52,8.56,,
1878,10,3.48,8.47,,
1878,11,3.47,8.37,,
1878,12,3.45,8.18,,
1879,1,3.58,8.28,,
1879,2,3.71,8.37,,
1879,3,3.65,8.28,,
1879,4,3.77,8.18,,
1879,5,3.94,8.18,,
1879,6,3.96,8.09,,
1879,7,4.04,8.18,,
1879,8,4.07,8.18,,
1879,9,4.22,8.47,,
1879,10,4.68,8.94,,
1879,11,4.93,9.42,,
1879,12,4.92,9.7,,
1880,1,5.11,9.99,,
1880,2,5.2,9.99,,
1880,3,5.3,10.09,,
1880,4,5.18,9.7,,
1880,5,4.77,9.42,,
1880,6,4.79,9.23,,
1880,7,5.01,9.23,,
1880,8,5.19,9.23,,
1880,9,5.18,9.32,,
1880,10,5.33,9.32,,
1880,11,5.61,9.42,,
1880,12,5.84,9.51,,
1881,1,6.19,9.42,,
1881,2,6.17,9.51,,
1881,3,6.24,9.51,,
1881,4,6.22,9.61,,
1881,5,6.5,9.51,,
1881,6,6.58,9.51,,
1881,7,6.35,9.61,,
1881,8,6.2,9.8,,
1881,9,6.25,10.18,,
1881,10,6.15,10.28,,
1881,11,6.19,10.18,,
1881,12,6.01,10.18,,
1882,1,5.92,10.18,,
1882,2,5.79,10.28,,
1882,3,5.78,10.28,,
1882,4,5.78,10.37,,
1882,5,5.71,10.47,,
1882,6,5.68,10.56,,
1882,7,6.0,10.47,,
1882,8,6.18,10.56,,
1882,9,6.24,10.28,,
1882,10,6.07,10.18,,
1882,11,5.81,10.09,,
1882,12,5.84,9.99,,
1883,1,5.81,9.99,,
1883,2,5.68,10.09,,
1883,3,5.75,9.99,,
1883,4,5.87,9.9,,
1883,5,5.77,9.8,,
1883,6,5.82,9.51,,
1883,7,5.73,9.32,,
1883,8,5.47,9.32,,
1883,9,5.53,9.23,,
1883,10,5.38,9.23,,
1883,11,5.46,9.13,,
1883,12,5.34,9.23,,
1884,1,5.18,9.23,,
1884,2,5.32,9.23,,
1884,3,5.3,9.23,,
1884,4,5.06,9.04,,
1884,5,4.65,8.85,,
1884,6,4.46,8.85,,
1884,7,4.46,8.75,,
1884,8,4.74,8.75,,
1884,9,4.59,8.66,,
1884,10,4.44,8.56,,
1884,11,4.35,8.37,,
1884,12,4.34,8.28,,
1885,1,4.24,8.28,,
1885,2,4.37,8.37,,
1885,3,4.38,8.18,,
1885,4,4.37,8.28,,
1885,5,4.32,8.09,,
1885,6,4.3,7.9,,
1885,7,4.46,7.99,,
1885,8,4.71,7.99,,
1885,9,4.65,7.9,,
1885,10,4.92,7.9,,
1885,11,5.24,7.99,,
1885,12,5.2,8.18,,
1886,1,5.2,7.99,,
1886,2,5.3,7.99,,
1886,3,5.19,7.9,,
1886,4,5.12,7.8,,
1886,5,5.02,7.61,,
1886,6,5.25,7.52,,
1886,7,5.33,7.61,,
1886,8,5.37,7.71,,
1886,9,5.51,7.71,,
1886,10,5.65,7.71,,
1886,11,5.79,7.71,,
1886,12,5.64,7.8,,
1887,1,5.58,7.99,,
1887,2,5.54,8.09,,
1887,3,5.67,8.09,,
1887,4,5.8,8.09,,
1887,5,5.9,8.09,,
1887,6,5.73,7.99,,
1887,7,5.59,7.9,,
1887,8,5.45,7.99,,
1887,9,5.38,7.9,,
1887,10,5.2,7.99,,
1887,11,5.3,8.09,,
1887,12,5.27,8.28,,
1888,1,5.31,8.37,,
1888,2,5.28,8.28,,
1888,3,5.08,8.28,,
1888,4,5.1,8.18,,
1888,5,5.17,8.09,,
1888,6,5.01,7.99,,
1888,7,5.14,8.09,,
1888,8,5.25,8.09,,
1888,9,5.38,8.09,,
1888,10,5.35,8.18,,
1888,11,5.24,8.28,,
1888,12,5.14,8.28,,
1889,1,5.24,7.99,,
1889,2,5.3,7.9,,
1889,3,5.19,7.8,,
1889,4,5.18,7.8,,
1889,5,5.32,7.61,,
1889,6,5.41,7.61,,
1889,7,5.3,7.61,,
1889,8,5.37,7.61,,
1889,9,5.5,7.71,,
1889,10,5.4,7.71,,
1889,11,5.35,7.71,,
1889,12,5.32,7.8,,
1890,1,5.38,7.61,,
1890,2,5.32,7.61,,
1890,3,5.28,7.61,,
1890,4,5.39,7.61,,
1890,5,5.62,7.71,,
1890,6,5.58,7.71,,
1890,7,5.54,7.71,,
1890,8,5.41,7.99,,
1890,9,5.32,8.09,,
1890,10,5.08,8.09,,
1890,11,4.71,7.9,,
1890,12,4.6,7.9,,
1891,1,4.84,7.8,,
1891,2,4.9,7.9,,
1891,3,4.81,7.99,,
1891,4,4.97,8.09,,
1891,5,4.95,7.99,,
1891,6,4.85,7.8,,
1891,7,4.77,7.71,,
1891,8,4.93,7.71,,
1891,9,5.33,7.61,,
1891,10,5.33,7.61,,
1891,11,5.25,7.52,,
1891,12,5.41,7.52,,
1892,1,5.51,7.33,,
1892,2,5.52,7.33,,
1892,3,5.58,7.14,,
1892,4,5.57,7.04,,
1892,5,5.57,7.04,,
1892,6,5.54,7.04,,
1892,7,5.54,7.23,,
1892,8,5.62,7.33,,
1892,9,5.48,7.33,,
1892,10,5.59,7.33,,
1892,11,5.57,7.52,,
1892,12,5.51,7.61,,
1893,1,5.61,7.9,,
1893,2,5.51,7.99,,
1893,3,5.31,7.8,,
1893,4,5.31,7.71,,
1893,5,4.84,7.61,,
1893,6,4.61,7.42,,
1893,7,4.18,7.23,,
1893,8,4.08,6.95,,
1893,9,4.37,7.23,,
1893,10,4.5,7.33,,
1893,11,4.57,7.14,,
1893,12,4.41,7.04,,
1894,1,4.32,6.85,,
1894,2,4.38,6.76,,
1894,3,4.51,6.57,,
1894,4,4.57,6.57,,
1894,5,4.4,6.57,,
1894,6,4.34,6.57,,
1894,7,4.25,6.57,,
1894,8,4.41,6.76,,
1894,9,4.48,6.85,,
1894,10,4.34,6.66,,
1894,11,4.34,6.66,,
1894,12,4.3,6.57,,
1895,1,4.25,6.57,,
1895,2,4.19,6.57,,
1895,3,4.19,6.57,,
1895,4,4.37,6.85,,
1895,5,4.61,6.95,,
1895,6,4.7,7.04,,
1895,7,4.72,6.95,,
1895,8,4.79,6.85,,
1895,9,4.82,6.85,,
1895,10,4.75,6.85,,
1895,11,4.59,6.85,,
1895,12,4.32,6.76,,
1896,1,4.27,6.66,,
1896,2,4.45,6.57,,
1896,3,4.38,6.57,,
1896,4,4.42,6.47,,
1896,5,4.4,6.37,,
1896,6,4.32,6.28,,
1896,7,4.04,6.28,,
1896,8,3.81,6.28,,
1896,9,4.01,6.28,,
1896,10,4.1,6.47,,
1896,11,4.38,6.66,,
1896,12,4.22,6.66,,
1897,1,4.22,6.47,,
1897,2,4.18,6.47,,
1897,3,4.19,6.47,,
1897,4,4.06,6.37,,
1897,5,4.08,6.28,,
1897,6,4.27,6.28,,
1897,7,4.46,6.28,,
1897,8,4.75,6.57,,
1897,9,4.98,6.76,,
1897,10,4.82,6.66,,
1897,11,4.65,6.66,,
1897,12,4.75,6.66,,
1898,1,4.88,6.66,,
1898,2,4.87,6.76,,
1898,3,4.65,6.76,,
1898,4,4.57,6.76,,
1898,5,4.87,7.23,,
1898,6,5.06,6.76,,
1898,7,5.08,6.66,,
1898,8,5.27,6.66,,
1898,9,5.26,6.66,,
1898,10,5.15,6.66,,
1898,11,5.32,6.66,,
1898,12,5.65,6.76,,
1899,1,6.08,6.76,,
1899,2,6.31,6.95,,
1899,3,6.4,6.95,,
1899,4,6.48,7.04,,
1899,5,6.21,7.04,,
1899,6,6.07,7.14,,
1899,7,6.28,7.23,,
1899,8,6.44,7.33,,
1899,9,6.37,7.61,,
1899,10,6.34,7.71,,
1899,11,6.46,7.8,,
1899,12,6.02,7.9,,
1900,1,6.1,7.9,,
1900,2,6.21,7.99,,
1900,3,6.26,7.99,,
1900,4,6.34,7.99,,
1900,5,6.04,7.8,,
1900,6,5.86,7.71,,
1900,7,5.86,7.8,,
1900,8,5.94,7.71,,
1900,9,5.8,7.8,,
1900,10,6.01,7.71,,
1900,11,6.48,7.71,,
1900,12,6.87,7.61,,
1901,1,7.07,7.71,,
1901,2,7.25,7.61,,
1901,3,7.51,7.61,,
1901,4,8.14,7.52,,
1901,5,7.73,7.52,,
1901,6,8.5,7.52,,
1901,7,7.93,7.61,,
1901,8,8.04,7.71,,
1901,9,8.0,7.8,,
1901,10,7.91,7.8,,
1901,11,8.08,7.9,,
1901,12,7.95,7.99,,
1902,1,8.12,7.9,,
1902,2,8.19,7.9,,
1902,3,8.2,7.9,,
1902,4,8.48,7.99,,
1902,5,8.46,8.09,,
1902,6,8.41,8.18,,
1902,7,8.6,8.18,,
1902,8,8.83,8.09,,
1902,9,8.85,8.18,,
1902,10,8.57,8.75,,
1902,11,8.24,8.47,,
1902,12,8.05,8.56,,
1903,1,8.46,8.66,,
1903,2,8.41,8.66,,
1903,3,8.08,8.37,,
1903,4,7.75,8.37,,
1903,5,7.6,8.18,,
1903,6,7.18,8.18,,
1903,7,6.85,8.18,,
1903,8,6.63,8.18,,
1903,9,6.47,8.28,,
1903,10,6.26,8.18,,
1903,11,6.28,8.09,,
1903,12,6.57,8.09,,
1904,1,6.68,8.28,,
1904,2,6.5,8.47,,
1904,3,6.48,8.37,,
1904,4,6.64,8.28,,
1904,5,6.5,8.09,,
1904,6,6.51,8.09,,
1904,7,6.78,8.09,,
1904,8,7.01,8.18,,
1904,9,7.32,8.28,,
1904,10,7.75,8.28,,
1904,11,8.17,8.47,,
1904,12,8.25,8.47,,
1905,1,8.43,8.47,,
1905,2,8.8,8.47,,
1905,3,9.05,8.37,,
1905,4,8.94,8.37,,
1905,5,8.5,8.28,,
1905,6,8.6,8.28,,
1905,7,8.87,8.28,,
1905,8,9.2,8.37,,
1905,9,9.23,8.28,,
1905,10,9.36,8.28,,
1905,11,9.31,8.37,,
1905,12,9.54,8.47,,
1906,1,9.87,8.47,,
1906,2,9.8,8.47,,
1906,3,9.56,8.47,,
1906,4,9.43,8.47,,
1906,5,9.18,8.56,,
1906,6,9.3,8.56,,
1906,7,9.06,8.28,,
1906,8,9.73,8.47,,
1906,9,10.03,8.56,,
1906,10,9.73,8.75,,
1906,11,9.93,8.85,,
1906,12,9.84,8.94,,
1907,1,9.56,8.85,,
1907,2,9.26,9.04,,
1907,3,8.35,8.94,,
1907,4,8.39,8.94,,
1907,5,8.1,9.13,,
1907,6,7.84,9.23,,
1907,7,8.14,9.23,,
1907,8,7.53,9.23,,
1907,9,7.45,9.23,,
1907,10,6.64,9.32,,
1907,11,6.25,8.94,,
1907,12,6.57,8.75,,
1908,1,6.85,8.66,,
1908,2,6.6,8.56,,
1908,3,6.87,8.56,,
1908,4,7.24,8.66,,
1908,5,7.63,8.66,,
1908,6,7.64,8.66,,
1908,7,7.92,8.75,,
1908,8,8.26,8.75,,
1908,9,8.17,8.75,,
1908,10,8.27,8.85,,
1908,11,8.83,8.94,,
1908,12,9.03,9.04,,
1909,1,9.06,8.94,,
1909,2,8.8,9.04,,
1909,3,8.92,9.04,,
1909,4,9.32,9.23,,
1909,5,9.63,9.32,,
1909,6,9.8,9.42,,
1909,7,9.94,9.42,,
1909,8,10.18,9.51,,
1909,9,10.19,9.61,,
1909,10,10.23,9.8,,
1909,11,10.18,9.9,,
1909,12,10.3,9.99,,
1910,1,10.08,9.9,,
1910,2,9.72,9.9,,
1910,3,9.96,10.09,,
1910,4,9.72,10.18,,
1910,5,9.56,9.99,,
1910,6,9.1,9.9,,
1910,7,8.64,9.9,,
1910,8,8.85,9.8,,
1910,9,8.91,9.7,,
1910,10,9.32,9.42,,
1910,11,9.31,9.23,,
1910,12,9.05,9.23,,
1911,1,9.27,9.23,,
1911,2,9.43,8.94,,
1911,3,9.32,9.04,,
1911,4,9.28,8.75,,
1911,5,9.48,8.75,,
1911,6,9.67,8.75,,
1911,7,9.63,8.85,,
1911,8,9.17,9.13,,
1911,9,8.67,9.23,,
1911,10,8.72,9.23,,
1911,11,9.07,9.13,,
1911,12,9.11,9.04,,
1912,1,9.12,9.13,,
1912,2,9.04,9.23,,
1912,3,9.3,9.42,,
1912,4,9.59,9.7,,
1912,5,9.58,9.7,,
1912,6,9.58,9.61,,
1912,7,9.59,9.61,,
1912,8,9.81,9.7,,
1912,9,9.86,9.8,,
1912,10,9.84,9.8,,
1912,11,9.73,9.8,,
1912,12,9.38,9.7,,
1913,1,9.3,9.8,,
1913,2,8.97,9.8,,
1913,3,8.8,9.8,,
1913,4,8.79,9.8,,
1913,5,8.55,9.7,,
1913,6,8.12,9.8,,
1913,7,8.23,9.9,,
1913,8,8.45,9.9,,
1913,9,8.53,10.0,,
1913,10,8.26,10.0,,
1913,11,8.05,10.1,,
1913,12,8.04,10.0,,
1914,1,8.37,10.0,,
1914,2,8.48,9.9,,
1914,3,8.32,9.9,,
1914,4,8.12,9.8,,
1914,5,8.17,9.9,,
1914,6,8.13,9.9,,
1914,7,7.68,10.0,,
1914,8,7.68,10.2,,
1914,9,7.68,10.2,,
1914,10,7.68,10.1,,
1914,11,7.68,10.2,,
1914,12,7.35,10.1,,
1915,1,7.48,10.1,,
1915,2,7.38,10.0,,
1915,3,7.57,9.9,,
1915,4,8.14,10.0,,
1915,5,7.95,10.1,,
1915,6,8.04,10.1,,
1915,7,8.01,10.1,,
1915,8,8.35,10.1,,
1915,9,8.66,10.1,,
1915,10,9.14,10.2,,
1915,11,9.46,10.3,,
1915,12,9.48,10.3,,
1916,1,9.33,10.4,,
1916,2,9.2,10.4,,
1916,3,9.17,10.5,,
1916,4,9.07,10.6,,
1916,5,9.27,10.7,,
1916,6,9.36,10.8,,
1916,7,9.23,10.8,,
1916,8,9.3,10.9,,
1916,9,9.68,11.1,,
1916,10,9.98,11.3,,
1916,11,10.21,11.5,,
1916,12,9.8,11.6,,
1917,1,9.57,11.7,,
1917,2,9.03,12.0,,
1917,3,9.31,12.0,,
1917,4,9.17,12.6,,
1917,5,8.86,12.8,,
1917,6,9.04,13.0,,
1917,7,8.79,12.8,,
1917,8,8.53,13.0,,
1917,9,8.12,13.3,,
1917,10,7.68,13.5,,
1917,11,7.04,13.5,,
1917,12,6.8,13.7,,
1918,1,7.21,14.0,,
1918,2,7.43,14.1,,
1918,3,7.28,14.0,,
1918,4,7.21,14.2,,
1918,5,7.44,14.5,,
1918,6,7.45,14.7,,
1918,7,7.51,15.1,,
1918,8,7.58,15.4,,
1918,9,7.54,15.7,,
1918,10,7.86,16.0,,
1918,11,8.06,16.3,,
1918,12,7.9,16.5,,
1919,1,7.85,16.5,,
1919,2,7.88,16.2,,
1919,3,8.12,16.4,,
1919,4,8.39,16.7,,
1919,5,8.97,16.9,,
1919,6,9.21,16.9,,
1919,7,9.51,17.4,,
1919,8,8.87,17.7,,
1919,9,9.01,17.8,,
1919,10,9.47,18.1,,
1919,11,9.19,18.5,,
1919,12,8.92,18.9,,
1920,1,8.83,19.3,,
1920,2,8.1,19.5,,
1920,3,8.67,19.7,,
1920,4,8.6,20.3,,
1920,5,8.06,20.6,,
1920,6,7.92,20.9,,
1920,7,7.91,20.8,,
1920,8,7.6,20.3,,
1920,9,7.87,20.0,,
1920,10,7.88,19.9,,
1920,11,7.48,19.8,,
1920,12,6.81,19.4,,
1921,1,7.11,19.0,,
1921,2,7.06,18.4,,
1921,3,6.88,18.3,,
1921,4,6.91,18.1,,
1921,5,7.12,17.7,,
1921,6,6.55,17.6,,
1921,7,6.53,17.7,,
1921,8,6.45,17.7,,
1921,9,6.61,17.5,,
1921,10,6.7,17.5,,
1921,11,7.06,17.4,,
1921,12,7.31,17.3,,
1922,1,7.3,16.9,,
1922,2,7.46,16.9,,
1922,3,7.74,16.7,,
1922,4,8.21,16.7,,
1922,5,8.53,16.7,,
1922,6,8.45,16.7,,
1922,7,8.51,16.8,,
1922,8,8.83,16.6,,
1922,9,9.06,16.6,,
1922,10,9.26,16.7,,
1922,11,8.8,16.8,,
1922,12,8.78,16.9,,
1923,1,8.9,16.8,,
1923,2,9.28,16.8,,
1923,3,9.43,16.8,,
1923,4,9.1,16.9,,
1923,5,8.67,16.9,,
1923,6,8.34,17.0,,
1923,7,8.06,17.2,,
1923,8,8.1,17.1,,
1923,9,8.15,17.2,,
1923,10,8.03,17.3,,
1923,11,8.27,17.3,,
1923,12,8.55,17.3,,
1924,1,8.83,17.3,,
1924,2,8.87,17.2,,
1924,3,8.7,17.1,,
1924,4,8.5,17.0,,
1924,5,8.47,17.0,,
1924,6,8.63,17.0,,
1924,7,9.03,17.1,,
1924,8,9.34,17.0,,
1924,9,9.25,17.1,,
1924,10,9.13,17.2,,
1924,11,9.64,17.2,,
1924,12,10.16,17.3,,
1925,1,10.58,17.3,,
1925,2,10.67,17.2,,
1925,3,10.39,17.3,,
1925,4,10.28,17.2,,
1925,5,10.61,17.3,,
1925,6,10.8,17.5,,
1925,7,11.1,17.7,,
1925,8,11.25,17.7,,
1925,9,11.51,17.7,,
1925,10,11.89,17.7,,
1925,11,12.26,18.0,,
1925,12,12.46,17.9,,
1926,1,12.65,17.9,,
1926,2,12.67,17.9,,
1926,3,11.81,17.8,,
1926,4,11.48,17.9,,
1926,5,11.56,17.8,,
1926,6,12.11,17.7,,
1926,7,12.62,17.5,,
1926,8,13.12,17.4,,
1926,9,13.32,17.5,,
1926,10,13.02,17.6,,
1926,11,13.19,17.7,,
1926,12,13.49,17.7,,
1927,1,13.4,17.5,,
1927,2,13.66,17.4,,
1927,3,13.87,17.3,,
1927,4,14.21,17.3,,
1927,5,14.7,17.4,,
1927,6,14.89,17.6,,
1927,7,15.22,17.3,,
1927,8,16.03,17.2,,
1927,9,16.94,17.3,,
1927,10,16.68,17.4,,
1927,11,17.06,17.3,,
1927,12,17.46,17.3,17.66,
1928,1,17.53,17.3,17.52,
1928,2,17.32,17.1,17.32,
1928,3,18.25,17.1,18.23,
1928,4,19.4,17.1,19.37,
1928,5,20.0,17.2,20.0,
1928,6,19.02,17.1,18.99,
1928,7,19.16,17.1,19.16,
1928,8,19.78,17.1,19.79,
1928,9,21.17,17.3,21.17,
1928,10,21.6,17.2,21.6,
1928,11,23.06,17.2,23.1,
1928,12,23.15,17.1,23.14,
1929,1,24.86,17.1,24.87,
1929,2,24.99,17.1,24.99,
1929,3,25.43,17.0,25.4,
1929,4,25.28,16.9,25.27,
1929,5,25.66,17.0,25.61,
1929,6,26.15,17.1,26.15,
1929,7,28.48,17.3,28.46,
1929,8,30.1,17.3,30.12,
1929,9,31.3,17.3,31.3,
1929,10,27.99,17.3,27.99,
1929,11,20.58,17.3,20.58,
1929,12,21.4,17.2,21.39,
1930,1,21.71,17.1,21.72,
1930,2,23.07,17.0,23.08,
1930,3,23.94,16.9,23.91,
1930,4,25.46,17.0,25.43,
1930,5,23.94,16.9,23.95,
1930,6,21.52,16.8,21.6,
1930,7,21.06,16.6,21.02,
1930,8,20.79,16.5,20.8,
1930,9,20.78,16.6,20.77,
1930,10,17.92,16.5,17.93,
1930,11,16.62,16.4,16.59,
1930,12,15.51,16.1,15.55,
1931,1,15.98,15.9,15.92,
1931,2,17.2,15.7,17.16,
1931,3,17.53,15.6,17.54,
1931,4,15.86,15.5,15.83,
1931,5,14.33,15.3,14.29,
1931,6,13.87,15.1,13.84,
1931,7,14.33,15.1,14.35,
1931,8,13.9,15.1,13.89,
1931,9,11.83,15.0,11.89,
1931,10,10.25,14.9,10.22,
1931,11,10.39,14.7,10.42,
1931,12,8.44,14.6,8.41,
1932,1,8.3,14.3,8.33,
1932,2,8.23,14.1,8.2,
1932,3,8.26,14.0,8.25,
1932,4,6.28,13.9,6.27,
1932,5,5.51,13.7,5.52,
1932,6,4.77,13.6,4.75,
1932,7,5.01,13.6,4.97,
1932,8,7.53,13.5,7.52,
1932,9,8.26,13.4,8.22,
1932,10,7.12,13.3,7.11,
1932,11,7.05,13.2,7.02,
1932,12,6.82,13.1,6.82,
1933,1,7.09,12.9,7.09,
1933,2,6.25,12.7,6.25,
1933,3,6.23,12.6,6.2,
1933,4,6.89,12.6,6.87,
1933,5,8.87,12.6,8.87,
1933,6,10.39,12.7,10.42,
1933,7,11.23,13.1,11.24,
1933,8,10.67,13.2,10.67,
1933,9,10.58,13.2,10.6,
1933,10,9.55,13.2,9.56,
1933,11,9.78,13.2,9.76,
1933,12,9.97,13.2,9.96,
1934,1,10.54,13.2,10.56,
1934,2,11.32,13.3,11.32,
1934,3,10.74,13.3,10.73,
1934,4,10.92,13.3,10.91,
1934,5,9.81,13.3,9.82,
1934,6,9.94,13.4,9.94,
1934,7,9.47,13.4,9.46,
1934,8,9.1,13.4,9.1,
1934,9,8.88,13.6,8.86,
1934,10,8.95,13.5,8.95,
1934,11,9.2,13.5,9.19,
1934,12,9.26,13.4,9.25,
1935,1,9.26,13.6,9.25,
1935,2,8.98,13.7,8.97,
1935,3,8.41,13.7,8.39,
1935,4,9.04,13.8,8.97,
1935,5,9.75,13.8,9.71,
1935,6,10.12,13.7,10.12,
1935,7,10.65,13.7,10.65,
1935,8,11.37,13.7,11.32,
